iter	Passed	Remaining
632	2642	1531
633	2646	1527
634	2651	1523
635	2655	1519
636	2659	1515
637	2664	1511
638	2668	1507
639	2673	1503
640	2678	1499
641	2682	1495
642	2687	1492
643	2690	1487
644	2695	1483
645	2700	1479
646	2704	1475
647	2709	1471
648	2714	1467
649	2718	1463
650	2722	1459
651	2727	1455
652	2731	1451
653	2736	1447
654	2740	1443
655	2745	1439
656	2750	1435
657	2755	1432
658	2759	1427
659	2764	1423
660	2768	1419
661	2773	1415
662	2777	1411
663	2781	1407
664	2786	1403
665	2790	1399
666	2794	1395
667	2799	1391
668	2804	1387
669	2808	1383
670	2813	1379
671	2818	1375
672	2823	1371
673	2828	1367
674	2832	1363
675	2836	1359
676	2841	1355
677	2845	1351
678	2850	1347
679	2854	1343
680	2859	1339
681	2864	1335
682	2869	1331
683	2873	1327
684	2878	1323
685	2883	1319
686	2887	1315
687	2892	1311
688	2896	1307
689	2900	1303
690	2905	1299
691	2909	1295
692	2914	1290
693	2918	1286
694	2923	1282
695	2926	1278
696	2930	1274
697	2935	1270
698	2940	1266
699	2944	1261
700	2949	1258
701	2954	1254
702	2958	1249
703	2962	1245
704	2967	1241
705	2971	1237
706	2976	1233
707	2981	1229
708	2985	1225
709	2990	1221
710	2994	1217
711	2999	1213
712	3003	1208
713	3007	1204
714	3011	1200
715	3016	1196
716	3020	1192
717	3024	1187
718	3029	1183
719	3033	1179
720	3037	1175
721	3042	1171
722	3047	1167
723	3051	1163
724	3056	1159
725	3061	1155
726	3065	1151
727	3070	1147
728	3074	1143
729	3079	1138
730	3083	1134
731	3086	1130
732	3090	1125
733	3094	1121
734	3098	1117
735	3102	1112
736	3106	1108
737	3110	1104
738	3115	1100
739	3119	1096
740	3124	1092
741	3128	1087
742	3132	1083
743	3137	1079
744	3141	1075
745	3144	1070
746	3149	1066
747	3153	1062
748	3158	1058
749	3162	1054
750	3165	1049
751	3170	1045
752	3175	1041
753	3179	1037
754	3184	1033
755	3188	1029
756	3192	1024
757	3197	1020
758	3201	1016
759	3206	1012
760	3211	1008
761	3216	1004
762	3221	1000
763	3225	996
764	3230	992
765	3235	988
766	3239	984
767	3244	980
768	3249	976
769	3253	971
770	3258	967
771	3262	963
772	3267	959
773	3272	955
774	3277	951
775	3282	947
776	3286	943
777	3291	939
778	3295	935
779	3299	930
780	3304	926
781	3308	922
782	3313	918
783	3317	913
784	3321	909
785	3326	905
786	3330	901
787	3335	897
788	3340	893
789	3344	889
790	3349	885
791	3354	880
792	3358	876
793	3363	872
794	3367	868
795	3371	864
796	3376	860
797	3380	855
798	3385	851
799	3389	847
800	3393	843
801	3398	838
802	3402	834
803	3407	830
804	3411	826
805	3416	822
806	3420	818
807	3424	813
808	3428	809
809	3433	805
810	3437	801
811	3441	796
812	3446	792
813	3451	788
814	3455	784
815	3460	780
816	3464	776
817	3469	771
818	3473	767
819	3478	763
820	3483	759
821	3487	755
822	3491	751
823	3496	746
824	3500	742
825	3504	738
826	3509	734
827	3514	730
828	3518	725
829	3523	721
830	3527	717
831	3532	713
832	3537	709
833	3541	704
834	3545	700
835	3549	696
836	3554	692
837	3558	687
838	3563	683
839	3568	679
840	3572	675
841	3577	671
842	3582	667
843	3586	662
844	3590	658
845	3594	654
846	3599	650
847	3603	645
848	3608	641
849	3612	637
850	3616	633
851	3621	629
852	3625	624
853	3629	620
854	3633	616
855	3638	612
856	3642	607
857	3647	603
858	3651	599
859	3655	595
860	3660	590
861	3664	586
862	3669	582
863	3673	578
864	3678	574
865	3682	569
866	3687	565
867	3691	561
868	3696	557
869	3701	553
870	3705	548
871	3710	544
872	3714	540
873	3719	536
874	3723	531
875	3728	527
876	3732	523
877	3736	519
878	3741	515
879	3745	510
880	3750	506
881	3754	502
882	3759	498
883	3763	493
884	3768	489
885	3772	485
886	3776	481
887	3781	476
888	3785	472
889	3790	468
890	3794	464
891	3798	459
892	3803	455
893	3807	451
894	3811	447
895	3816	442
896	3820	438
897	3825	434
898	3830	430
899	3834	426
900	3839	421
901	3843	417
902	3848	413
903	3852	409
904	3857	404
905	3861	400
906	3865	396
907	3871	392
908	3875	388
909	3881	383
910	3886	379
911	3891	375
912	3895	371
913	3900	366
914	3904	362
915	3908	358
916	3912	354
917	3916	349
918	3920	345
919	3924	341
920	3928	336
921	3932	332
922	3937	328
923	3941	324
924	3946	319
925	3950	315
926	3955	311
927	3959	307
928	3964	302
929	3968	298
930	3973	294
931	3978	290
932	3983	286
933	3987	281
934	3992	277
935	3997	273
936	4002	269
937	4006	264
938	4010	260
939	4014	256
940	4019	252
941	4024	247
942	4028	243
943	4033	239
944	4037	235
945	4042	230
946	4046	226
947	4051	222
948	4055	217
949	4060	213
950	4064	209
951	4068	205
952	4072	200
953	4077	196
954	4081	192
955	4086	188
956	4090	183
957	4094	179
958	4099	175
959	4103	170
960	4107	166
961	4112	162
962	4116	158
963	4120	153
964	4125	149
965	4129	145
966	4133	141
967	4138	136
968	4142	132
969	4147	128
970	4151	123
971	4155	119
972	4159	115
973	4164	111
974	4168	106
975	4173	102
976	4177	98
977	4181	94
978	4185	89
979	4189	85
980	4194	81
981	4198	76
982	4203	72
983	4207	68
984	4212	64
985	4216	59
986	4220	55
987	4225	51
988	4230	47
989	4234	42
990	4239	38
991	4244	34
992	4249	29
993	4253	25
994	4258	21
995	4262	17
996	4267	12
997	4272	8
998	4276	4
999	4281	0
